城市,县,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
安徽铜陵,狮子山区,21.1055660693317,19.6788896161187,20.686899771464102,21.6941627229598,20.6983973253693,24.2310057065546,27.6828260782533,32.5630665366308,40.2060618158033,49.038528000064304,50.8033548719479,55.47820677551199,60.42366816447849,64.5938110528553,72.4678928624887,72.8466218579699,71.3596718827592,71.16593485345891,67.0280920067679,75.6109473949265,78.5709519413375
安徽铜陵,郊区,64.1773861859997,60.1779752760044,61.291279542672505,64.27560468636871,61.1876737122638,66.45001335581921,77.4530133891555,95.5046752300765,109.55893451092899,124.408918886123,125.389997758741,130.081795360477,141.677600880396,151.557478775594,163.323161525907,166.320454078107,162.92551017047302,156.583146677411,139.909230362355,138.968637113921,130.122472707352
安徽铜陵,铜陵县,96.6402914433494,92.1345552501584,95.9501428960468,104.931529248331,104.41695716499599,112.911299527103,131.30410363256598,142.85879225504402,173.25298488108,201.21252749596601,217.03305784908,237.300729718203,258.454290090904,294.751758856977,345.177913564909,352.363416309515,345.915389086917,367.090448259228,345.212331844451,359.50080493338004,353.410639824122
安徽安庆,迎江区,51.042539217319906,48.868666129306995,49.7849565928641,52.7041620167257,50.5941432093134,59.5401011780326,70.3219510483289,76.8679516147721,90.4636390855574,98.386181391533,99.4676211177085,105.612986266856,115.02758302679901,131.227426665274,158.38380763428498,164.112980688472,167.0730916957,166.339865288119,153.409065791663,159.252640959427,158.400441983923
安徽安庆,大观区,75.5534359822352,69.8617873893844,70.6467244942645,74.1232508251932,70.5420927395809,74.953095633578,85.1520364473932,92.1141113489039,104.64945395501499,113.814348653444,113.990907053401,118.343774769026,128.893224774017,138.74070679300098,147.243221119604,147.792152840511,144.775409820759,144.107161969748,133.662056307978,136.54622075763402,130.680955915948
安徽安庆,宜秀区,77.9671044422918,74.20221031877439,78.2534881464934,82.7055569573531,81.0134573223984,93.0522489786116,115.96916426246999,125.450863603386,146.896826107225,160.40797583058298,168.312499797367,178.260238086579,194.15078639165299,210.779804488265,230.31089532615798,237.430047695052,232.760857219174,231.156157542635,213.761617909747,221.10814225845,226.703347802742
安徽安庆,怀宁县,92.3929833779786,94.95323627601721,102.05304063082401,107.810636220017,103.544343449761,120.74747339092,143.67302592285,156.580336015763,183.58873341984702,200.875299796252,207.26642951635702,217.649764897193,237.051590788433,256.16545593856,280.461561481244,288.961885512116,285.97042875222,304.220914261757,286.21418017118197,303.176120002114,294.721710658947
安徽安庆,枞阳县,71.3622597415169,71.85042737695349,75.4905716934999,82.210423911267,81.5195732772346,93.8303087948771,118.00961572872399,130.047466985915,153.046596487791,168.19231523231198,194.882232206852,211.51796309568903,230.37318535972798,248.652175810834,283.490070436691,287.731490508057,281.893746056483,272.800220757479,246.191031995634,247.13065728883498,233.981845662141
安徽安庆,潜山县,49.3211632613106,51.03023133318651,52.355518102927704,55.45490116164869,52.8105820460098,56.4093366792499,64.7475217848508,70.5191776359321,81.78161031299321,94.1989374534186,99.04543257306621,104.44502401895099,113.75550580228399,127.079824060828,145.801073997962,155.753532278541,154.559448290527,150.45539817539,135.369742089294,140.692363446683,135.843849594601
安徽安庆,太湖县,38.5812741444698,41.6749771307961,44.7662412636923,47.4227428584734,45.2362949977718,48.5731628154329,55.9546484560439,60.7115733890503,69.042800238963,75.3141862694397,77.6545463111935,80.8229875550616,88.0277439364613,94.7149250490815,110.216093771457,114.933368614462,113.154531867743,110.715587260827,100.196185422051,100.971038525452,95.618095530296
安徽安庆,宿松县,35.5688662214535,37.4037242879303,39.7300391215269,42.2880297879504,40.8557741472931,43.8862786841192,51.0954289848612,55.841904459044,72.1435248005931,83.9696972287634,95.5553406040239,103.18946460245199,112.38802278593,121.23238432341199,132.316998410614,133.027412791802,130.77289099627401,126.733130435066,113.28500149688601,114.820413454884,109.605095557665
安徽安庆,望江县,31.0596096410378,31.316756673805703,35.3408490601259,38.3636419411935,36.9639169773459,39.5513739934971,45.1633948252355,49.1290430835681,58.2161036446046,63.6798306293099,90.3764944564125,105.496190042066,115.69542356967,133.02925402622301,147.53165054393202,149.131112109634,148.603946613277,144.850059981549,128.410922251902,129.148482196814,125.65244677203499
安徽安庆,岳西县,11.7876831770204,18.105270147694398,19.7600986828017,23.1795618612183,22.2865542870967,24.1013290705104,28.7346051845699,31.5390707335921,38.9657719911513,47.071366418399805,50.9722302898048,54.6314341457804,59.6286198991564,66.3956384138034,75.1719187155666,80.8080012959994,90.7150523338205,88.2568101719936,79.5371555092966,80.040865671856,75.7332792876624
安徽安庆,桐城市,66.7781607282312,70.155760257112,82.6077045819073,89.21563960033771,86.7028987457293,98.128163018058,114.496673513627,123.903492167683,144.467925200615,160.54848737213,173.575783653907,188.976291711112,206.01290651025897,227.54019861934802,263.62449383607805,273.980016933279,271.932460512988,278.611807590789,254.166805169679,266.091789718236,262.627362710509
安徽黄山,屯溪区,57.1421974962225,53.330136710114196,58.2485740817809,62.643499460381,65.21914907664859,73.8971573115034,93.7555895370631,115.77979213024301,149.76499632673298,172.351456862117,192.77128948364,200.860307583551,218.765480686025,237.365257247914,253.132873526136,254.800330105299,249.634778638048,243.55030434995203,219.670453526252,218.66179007839997,210.082913886503
安徽黄山,黄山区,21.648173707639,20.6645633490877,21.6311876731201,24.6649609994767,24.7996817869729,32.0671795703716,47.414202112753,64.8985784503641,81.05810791527949,90.0116935153042,97.3285324915212,104.76621363712499,114.168930900252,123.952123736163,132.02856898628502,132.66553190825502,130.06390270136302,125.601202122979,112.73541128435201,112.164205244743,106.177765947998
安徽黄山,徽州区,13.340663659072199,12.934806180014698,13.255004249171401,15.3491244286706,15.2009309193901,19.840525314770698,26.7993316289474,35.384743860559695,46.4333503104104,54.5465804287248,67.60645894870851,71.5668867404104,77.9465319321773,84.8898664205157,95.3619784185486,105.99491079085598,106.87998545778402,108.836663442117,102.883165496279,104.435752524896,117.738533446148
安徽黄山,歙县,37.8515604239876,36.5909757712716,41.671075363819895,47.6978167729657,47.452733834468205,57.0021441583093,73.6245374421631,83.8766340000148,108.18944782954301,125.70162506836,144.022585528951,153.93742427394702,167.786985913573,181.168641631929,196.744921069951,200.192504778087,196.425207105002,188.022835370759,169.311354318588,168.799785212481,161.17499631151898
安徽黄山,休宁县,19.084820381842498,18.4857056235772,22.1383052499353,26.113683615802803,25.009109078629198,29.0846169413538,35.7815251968913,47.627182572444596,66.6138993323528,79.4733278992446,100.002393274255,104.503422131346,113.85091159412299,128.371700281885,139.275358272534,141.278296936669,139.45799760892902,135.729052837132,122.74491351341199,122.756322653702,115.077915481384
安徽黄山,黟县,4.43441414754575,4.51334814570033,4.5815450043310095,5.06136002665842,5.25313456571347,7.22484115103693,13.231381157463002,16.588732009227,19.8963159371263,23.2968135885692,35.154232817209405,38.776346630463095,42.296567715135,46.3035635020995,51.73702798889121,52.002282965674496,51.118056063059505,49.8790783815102,44.9577239924468,45.0407297978341,42.164454434574
安徽黄山,祁门县,8.79398586222154,8.369580469421301,8.84832737477669,9.829307877858371,10.1223190967236,12.319280424204,17.6909245682455,19.1373437856789,22.6352892998995,24.673826695734398,35.9704640035177,37.9295740007316,41.3743117273613,46.1335797888025,50.2948808672496,53.7031231183444,54.060357486938805,52.4917056453579,46.8668762485621,46.6408226410678,43.8240230476145
安徽滁州,琅琊区,88.6508617344801,83.45370939137851,85.26570015693899,89.96750829995001,85.6208577388381,100.25856489592799,118.072722475103,129.251025805774,155.036228081504,186.486917941792,193.840833796734,208.16007163296,226.906774922923,251.167934767629,281.903708602885,284.945007704747,281.149308346827,283.34781469700204,268.65624453147603,270.989085261508,258.09708132013
安徽滁州,南谯区,91.7006908739314,86.4971931984408,88.098563861907,94.2403231050638,90.0188308636215,99.42492937850051,117.10508569729201,127.22578966198701,150.721053066569,169.934658347501,179.03608883127998,199.867539672831,218.67007489418603,252.969762128577,340.779364843902,361.663755016667,373.60138200317897,381.278049578548,374.117394030762,398.98810239305,398.841410464934
安徽滁州,来安县,120.552448745305,116.292207968715,119.295038242543,129.578151986842,123.562102077247,131.43653324771,154.3380660609,167.593979764001,196.92184903485702,218.551651722923,226.293059928233,240.279033450362,263.510797058352,288.802328891582,359.45517006916,372.737310053199,374.381269127581,392.671021096433,367.601249960159,382.828328466235,400.058856688016
安徽滁州,全椒县,93.2910925724183,89.52338448387201,93.7642912718431,103.042688368818,99.5477726339855,106.76092193186099,122.91090636416,133.62007456540601,157.74936207293,175.667529242637,194.009709214591,217.82495923437799,238.73709311091602,267.01041684690796,338.075338990824,343.89540363452,337.65567545120797,339.468649900115,319.47482949338297,349.25897078160205,348.96527348256
安徽滁州,定远县,101.29923288950499,103.115306485866,106.896887830059,113.75223277305099,108.78002574117001,117.41293132121,136.457821253518,149.457876319071,170.849923345817,188.425977215147,201.158768570533,222.38001200121,242.61692864568798,278.059358211212,352.460756529199,361.446626486539,358.109987759381,355.15156862791,321.15886907076,324.196756472432,309.929802535271
安徽滁州,凤阳县,139.01981905597,139.827329908555,144.563483018338,154.206436464386,148.169808846868,159.16880812745998,186.31215089292502,202.887701775402,232.32178778013298,254.35399250921603,265.246989647223,286.501139411223,312.803789508321,355.877902158573,437.367168315846,446.01818897142505,445.847289254576,455.41303654113597,414.699067221236,455.84040747100005,452.23467659055797
安徽滁州,天长市,219.381881350101,207.97715765646697,215.822245967379,230.035145559432,220.544390388442,235.659498159848,273.567745552952,296.594695484588,337.927298474984,387.36221773804397,404.963252020823,421.89716299967,460.04672824597196,503.79772946961197,559.553083196928,572.8936267429319,566.3398499746451,605.523522121094,559.513943171215,564.157763596986,540.408337769632
安徽滁州,明光市,72.26036893595649,74.77286353259849,77.51904200076099,82.1187326064362,78.8319230343114,83.95635922179329,104.147167107471,115.11988372384,138.73158476159898,154.14116107756598,165.216450469991,181.326138987331,197.967018065199,216.59324748302197,249.851988824401,253.895627896432,249.280284490592,252.32103507622998,249.53403298431297,280.325518436948,277.542481534804
安徽阜阳,颍州区,127.119872229645,117.952290045295,122.70496677630001,128.716253721433,122.49751334466099,131.973765025608,158.01929293300802,177.35607308630398,201.831329590771,226.50460497450902,237.298107991907,252.863826671544,275.531926830022,308.520439634033,358.73409650834003,371.362162695721,365.625263685434,388.713720280809,384.935881698775,413.186128653813,437.48334991127297
安徽阜阳,颍东区,101.86055113603001,102.025877623111,107.543899910823,112.871996246676,107.436200619708,114.13396495266299,130.084039869239,141.516219979949,162.736360742885,180.135796263846,184.834144844367,193.239353915967,210.49697872667502,227.472205134029,265.246909347925,268.226110884885,262.89285975287703,265.124608817441,238.44575088059997,243.762598271835,252.51748483410398
安徽阜阳,颍泉区,105.50911973844099,100.140992765328,107.92860979668299,113.312114509864,107.83760292871601,114.597095795678,130.483715929639,142.881547717334,165.707888447781,188.36977259852802,193.86897969971,201.590283988492,219.560528951347,238.657133468971,259.117784080948,274.052393109988,268.529316697417,291.825679808675,265.242175841516,275.973736933681,276.15924470765697
安徽阜阳,临泉县,154.137990495704,148.248787942869,153.93641478292298,161.743461721475,154.347913950731,165.208034320378,187.868783970274,203.27454463432798,230.978140470094,252.808365552194,258.069784388305,272.777582998333,297.411655091686,322.935058521617,356.967466284329,359.528657803741,352.721676718059,349.876430610594,326.570034886604,411.01217892272007,420.619066309918
